,oid,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,pmra,pmdec,plx_value,rvz_radvel,otype,otypes,sp_type,U,B,V,G,R,I,J,H,K,CalType
80,2646057,HD 193271,304.87328380022,-2.12577060745,0.02,0.0162,90,6.784,-8.203,1.5159,-29.27,*,*|IR|NIR,K5/M1III,,10.09000015258789,8.520000457763672,7.681139945983887,,,5.22599983215332,4.334000110626221,4.116000175476074,ImagCorr_8.5
81,84517,HD 232529,26.781992406679993,51.53712742056,0.0152,0.0168,90,-9.085,6.773,1.6581,3.93,*,*|IR|NIR,K7,,9.949999809265137,8.489999771118164,8.008319854736328,,,5.97599983215332,5.269999980926514,5.098999977111816,ImagCorr_8.5
82,329397,BD+78   587,257.09676537511,78.82880429664,0.0169,0.015,90,-4.446,-1.465,1.2296,-21.61,*,*|IR|NIR,K2,,10.010000228881836,8.470000267028809,7.931739807128906,,,5.789000034332275,5.059999942779541,4.861000061035156,ImagCorr_8.5
83,683461,HD  23866,57.0611113779,-6.598657591229999,0.0744,0.0625,90,-8.845,14.151,5.1456,15.6878,*,*|NIR,A9V,,8.920000076293945,8.539999961853027,8.460200309753418,,,7.7769999504089355,7.5920000076293945,7.561999797821045,ImagCorr_8.5
84,3223224,HD  93210,160.92853513453,-69.44865987401,0.0139,0.0138,90,-0.437,4.875,2.7323,17.81,*,*|NIR,F0III/IV,,8.9399995803833,8.539999961853027,8.446869850158691,,,7.697000026702881,7.5279998779296875,7.4670000076293945,ImagCorr_8.5
85,634047,HD  20182,48.61091278114,-7.178020345249999,0.0316,0.0275,90,8.917,-2.843,1.9042,16.98,*,*|IR|NIR,K2/3III,,9.880000114440918,8.460000038146973,8.015359878540039,,,6.078000068664551,5.447000026702881,5.21999979019165,ImagCorr_8.5
86,11714,HD  18065,43.85381504046,37.9993740669,0.025,0.0229,90,-1.481,-5.93,2.4665,-17.61,*,*|NIR,G5,10.319999694824219,9.5,8.460000038146973,8.195710182189941,,,6.671000003814697,6.228000164031982,6.065999984741211,ImagCorr_8.5
87,701855,HD  27132,64.16826013043,-9.45405701773,0.0169,0.0155,90,7.575,-10.05,1.261,-5.74,*,*|NIR,K2III,,9.920000076293945,8.470000267028809,8.052020072937012,,,6.109000205993652,5.394999980926514,5.215000152587891,ImagCorr_8.5
88,3045761,HD 299875,138.14853861846,-53.66119329511,0.0134,0.0142,90,-9.475,9.039,1.2924,46.98,*,*|IR|NIR,K7,,10.130000114440918,8.539999961853027,7.954619884490967,,,5.775000095367432,5.125999927520752,4.758999824523926,ImagCorr_8.5
89,2923716,BD+40  3473,280.83459601488994,41.05622548718999,0.027,0.0268,90,7.839,10.793,1.9736,-33.23,*,*|NIR,K2,,9.680000305175781,8.470000267028809,8.1531400680542,,,6.441999912261963,5.872000217437744,5.748000144958496,ImagCorr_8.5
90,917526,HD  47407,99.0796553988,-42.67042136191,0.0144,0.0162,90,1.919,-0.897,1.2747,0.94,*,*|IR|NIR,K5/M0(III),,10.050000190734863,8.489999771118164,7.856190204620361,,,5.646999835968018,4.88100004196167,4.566999912261963,ImagCorr_8.5
91,2731189,HD 158673,262.51755989849994,14.462416404299999,0.0105,0.0108,90,-0.808,-18.902,4.3041,-6.86,*,*|NIR,G5,,9.069999694824219,8.520000457763672,8.402460098266602,,,7.442999839782715,7.2220001220703125,7.1529998779296875,ImagCorr_8.5
